x1,x2,z
-42,-43,0
-27,-86,1
46,83,0
-41,13,0
49,92,0
49,-100,0
94,-33,1
54,-65,1
-56,-26,1
-53,-89,0
77,-74,0
-40,2,1
66,55,1
79,52,1
26,-33,0
59,20,0
-24,0,0
-66,-77,0
75,30,1
-56,51,0
5,0,0
75,-50,1
-50,32,0
-51,8,0
31,31,1
-71,-42,1
-30,96,0
69,-17,1
73,-77,0
-23,66,0
-37,90,1
46,-92,0
-92,76,0
-51,-100,1
17,53,1
-63,-52,0
-19,-94,1
-29,59,0
69,83,1
-77,4,1
-14,-17,0
48,20,0
-99,68,1
-80,-98,1
90,36,0
2,28,0
42,6,0
-90,6,0
-41,-36,1
-42,20,0
57,-84,1
-25,-56,1
-28,67,1
26,43,0
-3,-8,0
9,100,1
-66,-81,1
-49,55,0
53,-76,1
84,0,0
-11,72,0
-62,37,1
-29,-63,1
-76,5,1
60,-89,0
69,-94,0
-14,22,0
32,-99,1
-61,-15,1
-53,-10,1
56,78,1
96,-87,1
5,29,0
-90,-1,0
61,20,1
16,7,0
44,53,1
68,18,1
-70,-75,0
-74,-97,1
-98,54,1
-68,63,1
24,57,0
-5,0,1
18,-61,1
31,93,1
-86,-23,0
8,67,1
-35,-59,1
-84,14,1
63,72,1
-81,-95,1
42,-9,0
-28,25,0
-68,85,0
-75,55,1
-76,31,1
-74,57,0
-50,-55,0
15,39,1
-64,-22,1
-39,-12,1
69,87,1
-25,22,0
67,-81,0
-18,-3,0
-55,-29,1
-6,95,0
2,-18,1
80,-44,1
-94,-36,1
-88,-54,0
3,-17,1
-70,-36,0
75,-45,0
95,-9,1
19,10,0
14,-25,1
-100,-68,0
-73,-80,1
-57,67,0
-59,-45,0
51,-33,0
96,23,1
-100,-30,0
-81,-63,1
43,94,0
77,78,1
-7,-68,0
56,54,1
50,96,0
-34,-28,1
48,-41,1
80,-8,1
-35,-55,0
-87,9,0
55,-71,1
92,-23,0
-55,-15,0
-59,-14,0
-37,-19,1
-16,-72,1
-6,-54,0
-96,44,1
-53,2,0
41,-82,1
-19,-14,1
8,-56,0
-98,-19,1
-56,-22,0
88,-56,0
-100,74,0
-81,58,1
69,81,0
-17,14,0
-69,-10,1
-19,55,0
-96,39,0
-67,-33,0
-34,-2,1
7,-79,0
-2,-68,1
-16,-56,0
22,35,0
27,-69,0
96,44,0
-51,-85,1
97,-100,1
10,-94,0
9,97,0
54,-82,1
-89,98,1
-87,96,0
-80,-62,1
-42,-32,0
-68,-37,0
-16,38,1
11,83,0
